medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	category
904041000006113	Waking time to first cigarette	EMISQWA1		904041000006109	Smoking
137711000006111	Smoker (Read codes)	EMISSMRE1		137711000006107	Smoking
1754091000000110	Issue of nicotine replacement therapy voucher	ESCTIS1		784481000000108	Smoking
2982426011	Provision of smoking cessation leaflet	ESCTPR3		699033005	Smoking
2717211000000112	Signposting to smoking cessation service	ESCTSI77		1084381000000100	Smoking
295951010	[X]Mental and behavioural disorder due to use of tobacco	Eu17	Eu17.00	30310000	Smoking
397671000006112	[X]Mental & behav dis due to use tobacco: acute intoxication	Eu170	Eu17000	30310000	Smoking
397911000006114	[X]Mental and behav dis due to use of tobacco: harmful use	Eu171	Eu17100	724697004	Smoking
397981000006119	[X]Mental and behav dis due to use tobacco: dependence syndr	Eu172	Eu17200	30310000	Smoking
397991000006116	[X]Mental and behav dis due to use tobacco: withdrawal state	Eu173	Eu17300	90755006	Smoking
397281000006113	[X]Men & behav dis due tobacco: withdrawl state wth delirium	Eu174	Eu17400	90755006	Smoking
397681000006110	[X]Mental & behav dis due to use tobacco: psychotic disorder	Eu175	Eu17500	30310000	Smoking
397971000006117	[X]Mental and behav dis due to use tobacco: amnesic syndrome	Eu176	Eu17600	30310000	Smoking
397181000006117	[X]Men & beh dis due tobacco: resid & late-onset psychot dis	Eu177	Eu17700	30310000	Smoking
397271000006110	[X]Men & behav dis due to use tobacco: oth men & behav dis	Eu17y	Eu17y00	30310000	Smoking
397461000006119	[X]Ment & behav dis due use tobacco: unsp ment & behav dis	Eu17z	Eu17z00	30310000	Smoking
78013015	Smokers' cough	H3101	H310100	46802002	Smoking
909391000006117	[RFC] Smoking cessation	HNGZ011		909391000006101	Smoking
16588018	Tobacco deposit on teeth	J0364	J036400	9473008	Smoking
2000051000006114	MHIP comprehensive assessment - nicotine use	JHCMH25		2000051000006105	Smoking
923611000006113	Health ed. - smoking	PC0076		923611000006109	Smoking
923201000006112	Pregnancy smoking advice	PCNQPR2		923201000006108	Smoking
324597019	Toxic effect of tobacco and nicotine	SMC	SMC..00	212899006	Smoking
298701000000114	[V]Personal history of tobacco abuse	ZV116	ZV11600	8517006	Smoking
460828018	[V]Tobacco use	ZV4K0	ZV4K000	110483000	Smoking
461114016	[V]Tobacco abuse counselling	ZV6D8	ZV6D800	711028002	Smoking
