medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	AcuteInfection
252366019	300000	171Z	171Z.00	Cough symptom NOS	272039006	171	1
255531013	600000	2C31	2C31.00	No lymphadenopathy	274621000	2C3	1
5564811000006110	90000	^ESCTLY556481		Lymphadenopathy absent	274621000		1
2476077011	80000	1691	1691.00	No swollen glands	274621000	169	1
300001000006113	100000	R065B	R065B00	Non-cardiac chest pain	274668005	R06	1
5565191000006114	50	^ESCTNO556519		Noncardiac chest pain	274668005		1
317436019	60000	R065B-4	R065B14	[D]Non-cardiac chest pain	274668005	R06	1
317421017	300	R064z	R064z00	[D]Abnormal sputum NOS	274708000	R06	1
317414017	5000	R064	R064.00	Abnormal sputum	274708000	R06	1
317420016	400	R0643	R064300	[D]Abnormal sputum - tenacious	274708000	R06	1
317446017	200	R0670	R067000	Percussion of chest abnormal	274712006	R06	1
317441010	3000	R0660	R066000	Chest swelling	274739003	R06	1
12702771000006117	300	^ESCT1270277		Localised swelling, mass and lump, trunk	274748008		1
5565921000006110	1	^ESCTLO556592		Localized swelling, mass and lump, trunk	274748008		1
317444019	900	R066z	R066z00	[D]Swelling, mass or lump of chest NOS	274748008	R06	1
411474016	4000	H14-2	H14..12	Tonsil disease - chronic	275486007	H14	1
301239011	7000	H14z0	H14z000	Chronic tonsil disease NOS	275486007	H14	1
411475015	1000	H14-1	H14..11	Adenoid disease - chronic	275487003	H14	1
411477011	40000	1C93	1C93.00	Persistent sore throat	275488008	1C9	1
411476019	10000	H121-1	H121.11	Sore throat - chronic	275488008	H12	1
411486018	100000	H1y1z-4	H1y1z14	Nasal infection	275496003	H1y	1
5573831000006110	300	^ESCTRT557383		RTI - Respiratory tract infection	275498002		1
175471000006116	80000	H5yy-1	H5yy.11	Respiratory infection NOS	275498002	H5y	1
411488017	700000	H06z1-1	H06z111	Respiratory tract infection	275498002	H06	1
411490016	300000	H060-1	H060.11	Acute wheezy bronchitis	275499005	H06	1
412577011	2000	H04-99	H04..99	Acute laryngitis/tracheitis	276443001	H04	1
301082016	5000	H04z	H04z.00	Acute laryngitis and/or tracheitis	276443001	H04	1
412576019	30000	H04	H04..00	Acute laryngitis and tracheitis	276443001	H04	1
416192015	50000	H1y1z-5	H1y1z15	Sore nostril	279073002	H1y	1
317431012	200000	R0656	R065600	Chest discomfort	279084009	R06	1
317435015	1000000	R065A	R065A00	Musculoskeletal chest pain	281245003	R06	1
5655871000006119	3000	^ESCTUR565587		URTI - Viral upper respiratory tract infection	281794004		1
350040017	2000000	H05z-2	H05z.12	Viral upper respiratory tract infection	281794004	H05	1
423230012	800000	171B	171B.00	Persistent cough	284523002	171	1
48067018	20	H1y71	H1y7100	Cellulitis of larynx	28709001	H1y	1
2961941000006112	1	^ESCTLO296194		Loose cough	28743005		1
13768751000006117	9	^ESCT1376875		Bronchial cough	28743005		1
2961961000006111	100	^ESCTPR296196		Producing sputum	28743005		1
13768761000006115	7000	^ESCT1376876		Chesty cough	28743005		1
397882011	600000	1716	1716.00	Productive cough	28743005	171	1
598431000006113	100000	1716-1	1716.11	Coughing up phlegm	28743005	171	1
301080012	5000	H043z	H043z00	Acute epiglottitis	29608009	H04	1
317439014	70000	R065z	R065z00	[D]Chest pain NOS	29857009	R06	1
317422012	400000	R065	R065.00	[D]Chest pain	29857009	R06	1
317995013	5000	Ryu04	Ryu0400	[X]Other chest pain	29857009	Ryu	1
406061010	80000	R0650	R065000	[D]Chest pain, unspecified	29857009	R06	1
252451018	100000	182Z	182Z.00	Chest pain NOS	29857009	182	1
49966017	6000000	182	182..00	Chest pain	29857009	182	1
442503015	3000	171H	171H.00	Difficulty in coughing up sputum	301245004	171	1
50618013	100000	A341-1	A341.11	Scarlet fever	30242009	A34	1
154821000006118	80000	A341	A341.00	Scarlet fever - scarlatina	30242009	A34	1
50619017	20000	A341-2	A341.12	Scarlatina	30242009	A34	1
5912921000006112	2000	^ESCTVO591292		Vocal cord paralysis	302912005		1
444909013	7000	H1y35	H1y3500	Vocal cord palsy	302912005	H1y	1
149068017	30	H1y30-2	H1y3012	Laryngoplegia	302912005	H1y	1
396102017	200	H1y30	H1y3000	Paralysis of larynx unspecified	302912005	H1y	1
5912931000006110	4	^ESCTVC591293		VCP - Vocal cord palsy	302912005		1
301313011	1000	H1y32	H1y3200	Unilateral total vocal cord paralysis	302912005	H1y	1
803491000006116	10	H1y30-1	H1y3011	Glottis paralysis	302912005	H1y	1
301316015	40	H1y3z	H1y3z00	Laryngoplegia NOS	302912005	H1y	1
5912951000006115	20	^ESCTVO591295		Vocal fold palsy	302912005		1
255529016	20000	2C3-2	2C3..12	O/E - enlarged lymph nodes	30746006	2C3	1
255530014	6000	2C3-1	2C3..11	O/E - adenopathy	30746006	2C3	1
255528012	200000	2C3	2C3..00	O/E - lymphadenopathy	30746006	2C3	1
2995651000006119	1	^ESCTLN299565		LN - Lymphadenopathy	30746006		1
1227323013	200000	1692	1692.00	Swollen glands	30746006	169	1
317371015	30000	R056z	R056z00	[D]Lymph node enlargement NOS	30746006	R05	1
2995621000006111	1	^ESCTSW299562		Swelling of lymph nodes	30746006		1
2995691000006113	3	^ESCTLY299569		Lymphadenopathy - swelling	30746006		1
2995671000006112	800	^ESCTSW299567		Swollen lymph glands	30746006		1
2995681000006110	100	^ESCTSW299568		Swollen lymph nodes	30746006		1
317361017	90000	R0561	R056100	[D]Swollen glands	30746006	R05	1
2995641000006116	1	^ESCTLA299564		LA - Lymphadenopathy	30746006		1
317360016	400000	R0560	R056000	Lymphadenopathy	30746006	R05	1
2995661000006117	20	^ESCTSW299566		Swelling of lymph node	30746006		1
317359014	80000	R056	R056.00	Enlargement of lymph nodes	30746006	R05	1
451445012	3000	H1y59	H1y5900	Dysplasia of vocal cord	308131007	H1y	1
451446013	800	H1y7D	H1y7D00	Dysplasia of larynx	308132000	H1y	1
5985361000006110	2	^ESCTCH598536		Cheyne-stokes breathing	309155007		1
5985371000006115	1	^ESCTCS598537		CSR - Cheyne-Stokes respiration	309155007		1
317389019	1000	R0605	R060500	Cheyne-Stokes respiration	309155007	R06	1
453207016	6000	H14y7	H14y700	Cyst of tonsil	309734000	H14	1
453208014	8000	H14y7-1	H14y711	Tonsillar cyst	309734000	H14	1
457116012	600	H1y19	H1y1900	Nasal septal adhesions	313255002	H1y	1
459738011	3000	171E	171E.00	Unexplained cough	315246003	171	1
460152011	600	H1y7E	H1y7E00	Acquired laryngocele	315633001	H1y	1
301441014	200000	H30z	H30z.00	Bronchitis NOS	32398004	H30	1
350041018	100000	H30-1	H30..11	Chest infection - unspecified bronchitis	32398004	H30	1
396107011	400000	H30	H30..00	Bronchitis	32398004	H30	1
56633010	30	H1y75	H1y7500	Abscess of larynx	33924006	H1y	1
58909014	30000	H0605	H060500	Acute tracheobronchitis	35301006	H06	1
301802017	1000	Hyu01	Hyu0100	[X]Acute pharyngitis due to other specified organisms	363746003	Hyu	1
885011000006118	20000	H02-99	H02..99	Pharyngitis	363746003	H02	1
459581000006119	200000	H02z	H02z.00	Acute pharyngitis NOS	363746003	H02	1
486416017	3000000	H02	H02..00	Acute pharyngitis	363746003	H02	1
301119018	1000	H060v	H060v00	Subacute bronchitis	36426008	H06	1
61668014	2000000	H01-1	H01..11	Sinusitis	36971009	H01	1
63301015	2000	H0420	H042000	Acute laryngotracheitis without obstruction	37948003	H04	1
751451000006119	30000	H1y7B	H1y7B00	Laryngomalacia	38086007	H1y	1
64674010	3000	P8316	P831600	Laryngomalacia	38086007	P83	1
3118471000006114	4	^ESCTOT311847		Otitis media with effusion - purulent	38394007		1
299529015	800	FyuP2	FyuP200	[X]Other chronic suppurative otitis media	38394007	Fyu	1
490746013	3000	F5131	F513100	Chronic otitis media with effusion, purulent	38394007	F51	1
490749018	300	F5131-1	F513111	Chronic secretory otitis media, purulent	38394007	F51	1
3118481000006112	20	^ESCTCH311848		Chronic otitis media with perforation	38394007		1
63478014	3000	F5131-99	F513199	Chronic purulent otitis media	38394007	F51	1
299067013	70000	F523	F523.00	Chronic suppurative otitis media	38394007	F52	1
3118451000006116	3	^ESCTCS311845		CSOM - Chronic suppurative otitis media	38394007		1
6462341000006118	1000	^ESCTBR646234		Breathing problem	386813002		1
6462331000006111	2	^ESCTBR646233		Breathing abnormal	386813002		1
317994012	10000	Ryu03	Ryu0300	Abnormal breathing	386813002	Ryu	1
317399012	3000	R060z	R060z00	Respiration abnormal	386813002	R06	1
546761000006119	2000000	A52	A52..00	Varicella infection	38907003	A52	1
286695010	9000	A52z	A52z.00	Varicella with no complication NOS	38907003	A52	1
3126141000006119	4000	^ESCTCH312614		Chicken pox	38907003		1
65259010	800000	A52-1	A52..11	Chickenpox	38907003	A52	1
288152019	100000	AyuA3	AyuA300	Varicella	38907003	Ayu	1
116801000006110	500000	F52	F52..00	Purulent otitis media	39288006	F52	1
3132041000006117	50	^ESCTSU313204		Suppurative otitis media	39288006		1
299068015	10000	F524	F524.00	Purulent otitis media NOS	39288006	F52	1
1488667011	10000	1J7	1J7..00	Suspected respiratory disease	394966004	1J7	1
1488668018	300000	1J70	1J70.00	Suspected asthma	394967008	1J7	1
301127010	900	H0614	H061400	Obliterating fibrous bronchiolitis	40100001	H06	1
3145221000006111	400	^ESCTOB314522		Obliterative bronchiolitis	40100001		1
492443010	2000	H3123	H312300	Bronchiolitis obliterans	40100001	H31	1
100101000006117	500000	H02-3	H02..13	Throat infection - pharyngitis	405737000	H02	1
6717931000006115	1	^ESCTIR671793		Irritation of the throat	405737000		1
779281000006114	400000	2DC3	2DC3.00	Pharyngitis	405737000	2DC	1
2163183015	90000	H302	H302.00	Wheezy bronchitis	405944004	H30	1
6720721000006111	3000	^ESCTAS672072		Asthmatic bronchitis	405944004		1
2158096017	6000	H1y74	H1y7400	Laryngeal spasm	406444002	H1y	1
6727911000006118	50	^ESCTLA672791		Laryngospasm	406444002		1
89399014	40	H1y73-1	H1y7311	Laryngismus	406444002	H1y	1
735691000006113	600	H1y7C	H1y7C00	Laryngismus	406444002	H1y	1
3156261000006114	300	^ESCTUL315626		Ulcer of nasal septum	40752005		1
681771000006115	3000	H1y12	H1y1200	Nasal septal ulcer	40752005	H1y	1
2159982016	1000	H1yz2	H1yz200	Upper airway resistance syndrome	408418009	H1y	1
1001611000006114	2000	H0432	H043200	Acute laryngitis with obstruction	408669002	H04	1
317391010	500	R0607	R060700	Respiratory insufficiency	409623005	R06	1
3164871000006118	1	^ESCTIN316487		Influenzal bronchopneumonia	41269000		1
1229740013	1000	H2700	H270000	Influenza with bronchopneumonia	41269000	H27	1
519391000006110	7000	H1y10-1	H1y1011	Furuncle of nasal cavity	414304001	H1y	1
122261000006115	70	H1y73-2	H1y7312	Stridulus - laryngismus	41432000	H1y	1
751421000006111	100	H1y7C-1	H1y7C11	Laryngismus stridulus	41432000	H1y	1
69365016	50000	A3403	A340300	Streptococcal tonsillitis	41582007	A34	1
556811000006111	3000	F522	F522.00	Chronic suppurative otitis media - atticoantral	41954005	F52	1
883731000006113	200	F522-99	F522.99	Chronic atticoantral disease	41954005	F52	1
3176151000006118	8	^ESCTCH317615		Chronic atticoantral suppurative otitis media	41954005		1
12705091000006114	2	^ESCT1270509		Hyperaemia of vocal cord	422636004		1
311751000000113	100	H1y58	H1y5800	Hyperaemia of vocal cord	422636004	H1y	1
3184411000006110	20	^ESCTHE318441		Herpes zoster keratoconjunctivitis	42448002		1
1229869010	2000	A5321	A532100	Herpes zoster with keratoconjunctivitis	42448002	A53	1
567061000000117	30000	H014	H014.00	Acute rhinosinusitis	431231008	H01	1
72760011	8	H1yz1	H1yz100	Cicatrix of trachea	43636000	H1y	1
3206351000006111	2	^ESCTSE320635		Septic sore throat	43878008		1
3206381000006115	4	^ESCTST320638		Strep throat	43878008		1
73160011	40	A3400	A340000	Streptococcal angina	43878008	A34	1
73158014	20000	A3402	A340200	Streptococcal pharyngitis	43878008	A34	1
73157016	70000	A340	A340.00	Streptococcal sore throat	43878008	A34	1
286457014	1000	A340z	A340z00	Streptococcal sore throat NOS	43878008	A34	1
7235171000006113	1	^ESCTCH723517		Chest mass	440299000		1
317443013	6000	R0662	R066200	Mass of thoracic structure	440299000	R06	1
7251651000006111	1	^ESCTIN725165		Inflammation of larynx due to virus	441551009		1
301063013	40000	H040w	H040w00	Viral laryngitis	441551009	H04	1
1816261000006119	100	H0617	H061700	Acute bronchiolitis due to human metapneumovirus	445102008	H06	1
7302821000006112	3	^ESCTBR730282		Bronchiolitis due to Human metapneumovirus	445102008		1
451444011	50000	H06z2	H06z200	Recurrent lower respiratory tract infection	448739000	H06	1
222191000000111	10000	R0650-1	R065011	Retrosternal chest pain	4568003	R06	1
451468015	8000	R065C	R065C00	[D]Retrosternal chest pain	4568003	R06	1
494319014	80000	1829	1829.00	Retrosternal pain	4568003	182	1
3254151000006114	400	^ESCTHY325415		Hypertrophy of tonsils	46689006		1
3254181000006118	10	^ESCTTO325418		Tonsillar enlargement	46689006		1
789561000006112	20000	H1411	H141100	Tonsillar hypertrophy	46689006	H14	1
286723017	200000	A53z	A53z.00	Herpes zoster	4740000	A53	1
8902018	600000	A53	A53..00	Herpes zoster infection	4740000	A53	1
8904017	1000000	A53-1	A53..11	Shingles	4740000	A53	1
288154018	100	AyuA5	AyuA500	[X]Zoster without complications	4740000	Ayu	1
2574471000006111	1	^ESCTZO257447		Zoster	4740000		1
288153012	50	AyuA4	AyuA400	[X]Zoster with other complications	4740000	Ayu	1
3283201000006112	3	^ESCTRE328320		Respiratory crepitations	48409008		1
288341000006117	60000	23D-2	23D..12	Respiratory crackles	48409008	23D	1
317448016	4000	R0672	R067200	[D]Rales	48409008	R06	1
301351011	900	H1y8	H1y8.00	Upper respiratory tract hypersensitivity reaction	490008	H1y	1
286722010	600	A53y	A53y.00	Herpes zoster with unspecified complications	49183009	A53	1
286721015	400	A53xz	A53xz00	Herpes zoster with other specified complication NOS	49183009	A53	1
286718017	2000	A53x	A53x.00	Herpes zoster with complication	49183009	A53	1
3304991000006116	1	^ESCTOB330499		Observation of cough	49727002		1
317403015	2000000	R062	R062.00	[D]Cough	49727002	R06	1
82824016	10000000	171	171..00	Cough	49727002	171	1
12455511000006112	40	^ESCT1245551		[D]Respiratory abnormalities	497911000000107		1
317380015	600	R060	R060.00	[D]Respiratory abnormalities	497911000000107	R06	1
11905761000006110	40	^ESCT1190576		[D]Swelling, mass and lump of chest	498261000000100		1
317440011	3000	R066	R066.00	[D]Swelling, mass and lump of chest	498261000000100	R06	1
317442015	30000	R0661	R066100	[D]Chest lump	498281000000109	R06	1
11905321000006115	300	^ESCT1190532		[D]Chest lump	498281000000109		1
83125011	500	H0430	H043000	Acute epiglottitis without obstruction	49908003	H04	1
301840019	100	Hyu42	Hyu4200	[X]Airway disease due to other specific organic dusts	50043002	Hyu	1
301789016	4000	H5yz	H5yz.00	Other diseases of respiratory system NOS	50043002	H5y	1
301614010	40	H4yy	H4yy.00	Other external agent causing respiratory condition	50043002	H4y	1
301615011	20	H4yz	H4yz.00	External agent causing respiratory conditions NOS	50043002	H4y	1
301790013	100000	Hz	Hz...00	Respiratory system diseases NOS	50043002	Hz.	1
301769017	300	Hy	Hy...00	Other specified diseases of respiratory system	50043002	Hy.	1
168831000006119	2000	H5z	H5z..00	Respiratory system diseases NOS	50043002	H5z	1
301760018	300	H58yz	H58yz00	Other lung disease NEC NOS	50043002	H58	1
301850018	30	Hyu4A	Hyu4A00	[X]Respiratory conditions due to unspecified external agent	50043002	Hyu	1
301861014	60	Hyu8	Hyu8.00	[X]Other diseases of the respiratory system	50043002	Hyu	1
3310421000006118	1	^ESCTRE331042		Respiratory disorder	50043002		1
424901000006117	40	Hyu49	Hyu4900	[X]Respiratory conditions/other specified external agents	50043002	Hyu	1
396127012	5000	H5yy	H5yy.00	Other diseases of respiratory system NEC	50043002	H5y	1
424911000006119	4	Hyu84	Hyu8400	[X]Respiratory disorders in other diseases CE	50043002	Hyu	1
3310431000006115	50	^ESCTRE331043		Respiratory disease	50043002		1
301752019	1000	H58y	H58y.00	Other lung disease NEC	50043002	H58	1
301864018	100	Hyu82	Hyu8200	[X]Other specified respiratory disorders	50043002	Hyu	1
264557019	20000	663X	663X.00	Disorder of respiratory system	50043002	663	1
301616012	900	H4z	H4z..00	Lung disease due to external agents NOS	50043002	H4z	1
168821000006117	1000000	H	H....00	Respiratory system disease	50043002	H..	1
301799014	2	Hyu	Hyu..00	[X]Additional respiratory disease classification terms	50043002	Hyu	1
424851000006110	7	Hyu83	Hyu8300	[X]Resp disorders/other diffuse connectv tissue disorders CE	50043002	Hyu	1
301617015	4000	H5	H5...00	Other respiratory system diseases	50043002	H5.	1
301605017	200	H4y	H4y..00	Other specified lung diseases due to external agent	50043002	H4y	1
13441000006111	300	H5y	H5y..00	Other specified diseases of respiratory system	50043002	H5y	1
9421011	1000	H01y0	H01y000	Acute pansinusitis	5028002	H01	1
3316381000006114	100	^ESCTLO331638		Lower respiratory infection	50417007		1
733471000006110	2000000	H06z1	H06z100	Lower resp tract infection	50417007	H06	1
3316401000006114	7000	^ESCTLR331640		LRTI - Lower respiratory tract infection	50417007		1
396090018	7000000	H06z0	H06z000	Lower respiratory tract infection	50417007	H06	1
301143015	100000	H07	H07..00	Chest cold	50417007	H07	1
1122841000000110	90000	1J72-1	1J72.11	Suspected swine influenza	505251000000100	1J7	1
1122831000000118	10000	1J72	1J72.00	Suspected Influenza A virus subtype H1N1 infection	505251000000100	1J7	1
85223011	40	H1y50	H1y5000	Abscess of vocal cords	51152000	H1y	1
85929018	700	H1y6	H1y6.00	Larynx - oedema	51599000	H1y	1
301334016	200	H1y6z	H1y6z00	Oedema of larynx	51599000	H1y	1
3336111000006112	6	^ESCTLA333611		Laryngeal oedema	51599000		1
496300018	100	H1y61	H1y6100	Subglottic oedema	52379009	H1y	1
496324014	2000	H1y62	H1y6200	Supraglottic oedema	5248000	H1y	1
879051000006113	100	A34z-99	A34z.99	Strep.throat + scarlatina NOS	538331000000101	A34	1
396089010	10000000	H05z	H05z.00	Upper respiratory infection NOS	54150009	H05	1
3378381000006118	2000	^ESCTUP337838		Upper respiratory tract infection	54150009		1
301090016	10000	H05y	H05y.00	Other upper respiratory infections of multiple sites	54150009	H05	1
3378371000006116	40	^ESCTUR337837		URTI - Infection of the upper respiratory tract	54150009		1
3378391000006115	2	^ESCTUR337839		URI - Upper respiratory infection	54150009		1
73091000006118	10000000	H05z-1	H05z.11	Upper respiratory infection	54150009	H05	1
3382671000006116	20	^ESCTAC338267		Acute upper respiratory tract infection	54398005		1
3382661000006111	1	^ESCTAU338266		AURTI - Acute upper respiratory tract infection	54398005		1
460751000006119	900000	H051	H051.00	Acute upper respiratory infection	54398005	H05	1
362471000006114	4000	Hyu0	Hyu0.00	[X]Acute upper respiratory infections	54398005	Hyu	1
301083014	30000	H05	H05..00	Other acute upper respiratory infections	54398005	H05	1
301821013	100	Hyu11	Hyu1100	[X]Acute bronchiolitis due to other specified organisms	5505005	Hyu	1
2478755014	60	H0610	H061000	Acute capillary bronchiolitis	5505005	H06	1
301130015	30000	H061z	H061z00	Acute bronchiolitis NOS	5505005	H06	1
10187013	700000	H061	H061.00	Acute bronchiolitis	5505005	H06	1
91647017	20000	H042-1	H042.11	Laryngotracheitis	55130001	H04	1
92029013	7000	H050	H050.00	Acute laryngopharyngitis	55355000	H05	1
3398971000006110	20	^ESCTRE339897		Remnant tonsil	55366007		1
92044014	800	H14y3	H14y300	Tonsillar tag	55366007	H14	1
625341000006116	100	A53x1	A53x100	Disseminated herpes zoster	55560002	A53	1
93172014	1000000	1737	1737.00	Wheezing	56018004	173	1
3410151000006114	500	^ESCTWH341015		Wheezy	56018004		1
3410141000006112	200	^ESCTWH341014		Wheeze	56018004		1
317393013	200000	R0609	R060900	[D]Wheezing	56018004	R06	1
94688016	20	H1yz0	H1yz000	Abscess of trachea	56937005	H1y	1
3424911000006112	1	^ESCTTR342491		Tracheal abscess	56937005		1
301323019	500	H1y54	H1y5400	Singers' chorditis	57713008	H1y	1
3437801000006113	5	^ESCTCH343780		Chorditis	57713008		1
301330013	2000	H1y5z	H1y5z00	Other vocal cord disease NOS	57781000	H1y	1
301329015	40	H1y5x	H1y5x00	Chorditis NOS	57781000	H1y	1
301320016	4000	H1y5	H1y5.00	Other vocal cord disease	57781000	H1y	1
301829010	2000	Hyu26	Hyu2600	Disorder of vocal cord	57781000	Hyu	1
10651017	4	H14y2	H14y200	Cicatrix of adenoid	5791006	H14	1
885131000006113	100	H1y-99	H1y..99	Disease of URT NOS	581971000000102	H1y	1
99508014	900	H0611	H061100	Acute obliterating bronchiolitis	59903001	H06	1
317449012	40	R0673	R067300	Chest tympanitic to percussion	59948002	R06	1
99622016	90	H0421	H042100	Acute laryngotracheitis with obstruction	59967003	H04	1
885101000006117	400	H14z-99	H14z.99	Tongue disease NOS	605911000000101	H14	1
3484461000006112	20	^ESCTDI348446		Disorder of the larynx	60600009		1
301319010	300	H1y4z	H1y4z00	Polyp of vocal cord or larynx NOS	60600009	H1y	1
301350012	200	H1y7z	H1y7z00	Other disease of larynx NOS	60600009	H1y	1
301335015	200	H1y7	H1y7.00	Other diseases of larynx NEC	60600009	H1y	1
301830017	100	Hyu27	Hyu2700	[X]Other diseases of larynx	60600009	Hyu	1
301336019	50	H1y70	H1y7000	Disease of larynx unspecified	60600009	H1y	1
301344019	400	H1y77	H1y7700	Obstruction of larynx NOS	60600009	H1y	1
389881000006117	60	Hyu06	Hyu0600	[X]Influenza+oth respiratory manifestatns,virus not identifd	6142004	Hyu	1
301424012	70	H27yz	H27yz00	Influenza with other manifestations NOS	6142004	H27	1
11203012	300000	H27	H27..00	Influenza	6142004	H27	1
301421016	700	H27y	H27y.00	Influenza with other manifestations	6142004	H27	1
387051000006110	50	Hyu04	Hyu0400	[X]Flu+oth respiratory manifestations,'flu virus identified	6142004	Hyu	1
301418018	3000	H271z	H271z00	Influenza with respiratory manifestations NOS	6142004	H27	1
301415015	7000	H271	H271.00	Influenza with other respiratory manifestation	6142004	H27	1
389901000006115	40	Hyu05	Hyu0500	[X]Influenza+other manifestations,influenza virus identified	6142004	Hyu	1
396106019	400000	H27z	H27z.00	Influenza NOS	6142004	H27	1
2597911000006113	200	^ESCTFL259791		Flu	6142004		1
389891000006119	30	Hyu07	Hyu0700	[X]Influenza+other manifestations, virus not identified	6142004	Hyu	1
103764016	300	171G	171G.00	Bovine cough	62427007	171	1
11905591000006110	4	^ESCT1190559		Orthopnea	62744007		1
317383018	10000	R0602	R060200	Orthopnea	62744007	R06	1
41791000006118	10000	1735-1	1735.11	Orthopnoea	62744007	173	1
525691000006114	20000	1735	1735.00	Breathlessness lying flat	62744007	173	1
885181000006114	200	H1yz-99	H1yz.99	Disease of URT NOS	636511000000109	H1y	1
106996011	6000	H0410	H041000	Acute tracheitis without obstruction	64369009	H04	1
301074016	2000	H042z	H042z00	Acute laryngotracheitis NOS	64375000	H04	1
107009017	60000	H042	H042.00	Acute laryngotracheitis	64375000	H04	1
989171000006116	10	H042-99	H042.99	Acute laryngitis/tracheitis	64375000	H04	1
3549421000006117	1	^ESCTDI354942		Discharge from nose	64531003		1
3549381000006110	4000	^ESCTNA354938		Nasal discharge	64531003		1
681561000006119	100000	H00-4	H00..14	Nasal catarrh - acute	64531003	H00	1
3549401000006110	20	^ESCTRH354940		Rhinorrhea	64531003		1
2161421018	90000	1C83-3	1C83.13	Rhinorrhoea	64531003	1C8	1
2603071000006116	2	^ESCTTO260307		Tonsillith	6461009		1
2603051000006114	700	^ESCTTO260305		Tonsil stone	6461009		1
1232581011	7000	H14y0-2	H14y012	Tonsillolith	6461009	H14	1
11712013	7000	H14y0-1	H14y011	Amygdalolith	6461009	H14	1
2603081000006118	1	^ESCTTO260308		Tonsillolithiasis	6461009		1
11713015	5000	H14y0	H14y000	Tonsillar calculus	6461009	H14	1
108087019	300	H1y15	H1y1500	Rhinolith	65034006	H1y	1
3562731000006111	10	^ESCTOM356273		OM - Otitis media	65363002		1
399498017	5000000	F52z	F52z.00	Otitis media	65363002	F52	1
299532017	900	FyuP5	FyuP500	[X]Otitis media in other diseases classified elsewhere	65363002	Fyu	1
109542015	20000	174	174..00	Hiccoughs	65958008	174	1
317451011	6000	R068	R068.00	[D]Hiccough	65958008	R06	1
3572521000006110	10	^ESCTHI357252		Hiccups	65958008		1
252418010	1000	174Z	174Z.00	Hiccough	65958008	174	1
822841000006111	10000	174-1	174..11	Hiccough symptom	65958008	174	1
879151000006112	1000	A53z-99	A53z.99	Other herpes zoster	664671000000102	A53	1
12028011	600000	H040	H040.00	Acute laryngitis	6655004	H04	1
301065018	20000	H040z	H040z00	Acute laryngitis NOS	6655004	H04	1
110681012	7000	H1410	H141000	Tonsillar and adenoid hypertrophy	66622006	H14	1
3583461000006119	100	^ESCTHY358346		Hypertrophy of tonsils AND adenoids	66622006		1
317408012	4000	R0630	R063000	[D]Cough with haemorrhage	66857006	R06	1
317405010	300000	R063	R063.00	Haemoptysis	66857006	R06	1
317412018	10000	R063z	R063z00	[D]Haemoptysis NOS	66857006	R06	1
517971000006119	6000	172-1	172..11	Blood in sputum - symptom	66857006	172	1
814151000006117	100000	172-2	172..12	Haemoptysis	66857006	172	1
11905461000006115	10	^ESCT1190546		Hemoptysis	66857006		1
3587071000006111	600	^ESCTCO358707		Coughing up blood	66857006		1
517961000006114	100000	172	172..00	Blood in sputum - haemoptysis	66857006	172	1
110445017	100	H14y1	H14y100	Cicatrix of tonsil	67529001	H14	1
112674013	10000	H012	H012.00	Acute ethmoidal sinusitis	67832005	H01	1
113213012	200000	171A	171A.00	Chronic cough	68154008	171	1
113345017	700000	H1y1z-2	H1y1z12	Nasal congestion	68235000	H1y	1
3610111000006110	5	^ESCTCO361011		Congested nose	68235000		1
488101000006116	1000	H010-1	H010.11	Acute antritis	68272006	H01	1
113403018	400000	H010	H010.00	Acute maxillary sinusitis	68272006	H01	1
3621841000006118	10	^ESCTHY362184		Hyperventilating	68978004		1
3621831000006111	2	^ESCTOV362183		Overbreathing	68978004		1
317382011	100000	R0601	R060100	Hyperventilation	68978004	R06	1
883741000006115	2000	F523-99	F523.99	Chronic purulent otitis media	694131000000108	F52	1
3645081000006116	1	^ESCTST364508		Stridulous breathing	70407001		1
317400017	30000	R061	R061.00	Stridor	70407001	R06	1
117891019	200	H043-1	H043.11	Viral epiglottitis	70976000	H04	1
3656301000006118	30	^ESCTVO365630		Vocal cord leukoplakia	71086005		1
3656271000006115	300	^ESCTLE365627		Leucoplakia of vocal cords	71086005		1
118055013	3000	H1y53	H1y5300	Leukoplakia of vocal cords	71086005	H1y	1
3656311000006115	9	^ESCTKE365631		Keratotic vocal cord	71086005		1
1001621000006118	40000	H0432-1	H043211	Croup	71186008	H04	1
7698591000006118	10	^ESCTBR769859		Breath holding attack	713013008		1
317453014	20000	R06z0	R06z000	Breath holding spell	713013008	R06	1
119447018	20000	1823	1823.00	Precordial pain	71884009	182	1
317426010	10000	R0651	R065100	[D]Precordial pain	71884009	R06	1
317450012	800	R067z	R067z00	[D]Abnormal chest sounds NOS	72471000119101	R06	1
317445018	10000	R067	R067.00	Abnormal chest sounds	72471000119101	R06	1
317447014	300	R0671	R067100	[D]Friction sounds, chest	72471000119101	R06	1
121855018	100	H1y79	H1y7900	Ulcer of larynx	73375005	H1y	1
123962018	70	H27y0	H27y000	Influenza with encephalopathy	74644004	H27	1
885261000006111	8	H27y0-99	H27y099	Influenza + encephalopathy	74644004	H27	1
3727481000006113	700	^ESCTBR372748		Breathing painful	75483001		1
317428011	6000	R0653	R065300	Painful respiration	75483001	R06	1
125478010	400	H1y73	H1y7300	Stenosis of larynx	75547007	H1y	1
