medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	EyeProblems
515561000006112	3000	F4E34	F4E3400	Blepharochalasis	47704002	F4E	1
79496010	2000	F4E6	F4E6.00	Blepharochalasis	47704002	F4E	1
81634012	200	F4K26	F4K2600	Synchysis scintillans	49001006	F4K	1
84459012	30	F4K08	F4K0800	Scleral abscess	50675000	F4K	1
3322831000006110	1	^ESCTVI332283		Vitreous liquefaction	50801008		1
2647144017	80	F4K20	F4K2000	Vitreous cavitation	50801008	F4K	1
84663014	200	F4K22	F4K2200	Vitreous liquifaction	50801008	F4K	1
2581421000006118	2	^ESCTMA258142		Marcus-Gunn jaw winking	5127009		1
2581411000006114	20	^ESCTMA258141		Marcus Gunn syndrome	5127009		1
717921000006116	900	F4E41-3	F4E4113	Marcus - Gunn syndrome	5127009	F4E	1
2581401000006111	1	^ESCTMA258140		Marcus Gunn phenonemon	5127009		1
495974012	200	F4E41-2	F4E4112	Jaw winking	5127009	F4E	1
495973018	70	F4E41	F4E4100	Abnormal eyelid innervation syndrome	5127009	F4E	1
717931000006118	900	P2x4	P2x4.00	Marcus - Gunn syndrome	5127009	P2x	1
9584015	400	P2x3	P2x3.00	Jaw-winking syndrome	5127009	P2x	1
573921000006116	100	F4850	F485000	Colour blind - protan defect	51445007	F48	1
3333491000006119	6	^ESCTPR333349		Protan defect	51445007		1
573931000006118	20	F4852	F485200	Colour blind - tritan defect	51886007	F48	1
3341071000006113	1	^ESCTTR334107		Tritan defect	51886007		1
9887018	4	F4K14	F4K1400	Ring staphyloma	5299007	F4K	1
88600018	200	F4E32	F4E3200	Myogenic ptosis	53279002	F4E	1
3368241000006110	9	^ESCTCO336824		Concentric fading of visual field	53547005		1
89032012	100	F4812	F481200	Concentric fading	53547005	F48	1
89378011	200000	F4K21	F4K2100	Vitreous detachment	53772007	F4K	1
3371951000006115	2	^ESCTVI337195		Vitreous separation	53772007		1
89429017	40	F4864	F486400	Acquired night blindness	53808001	F48	1
898231000006113	300	SE1z-99	SE1z.99	Bruise - eye NOS	544681000000101	SE1	1
3399641000006117	80	^ESCTIN339964		Involutional entropion	55408009		1
92123011	5000	F4E01	F4E0100	Senile entropion	55408009	F4E	1
92912013	500	F484C	F484C00	Nasal step visual field defect	55871009	F48	1
3412681000006112	4	^ESCTFL341268		Flashes	56170001		1
93409013	5000	F481C	F481C00	Photopsia	56170001	F48	1
3412691000006110	2	^ESCTLI341269		Light flashes	56170001		1
298905010	2000	F4K50	F4K5000	Unspecified nystagmus	563001	F4K	1
298907019	500	F4K56	F4K5600	Other forms of nystagmus	563001	F4K	1
2016015	30000	F4K5-1	F4K5.11	Nystagmus	563001	F4K	1
573911000006112	100	F4853	F485300	Colour blind - monochromatism	56852002	F48	1
3423381000006115	10	^ESCTMO342338		Monochromatism	56852002		1
3423371000006118	3	^ESCTAC342337		Achromatopsia	56852002		1
96724011	200	F4E34-1	F4E3411	Pseudoptosis	58200004	F4E	1
99490010	50	F4E21	F4E2100	Paralytic lagophthalmos	59890007	F4E	1
883351000006119	7000	F48z-99	F48z.99	Visual disturbances NOS	599721000000102	F48	1
298597015	100	F4E4	F4E4.00	Other disorders affecting eyelid function	60113004	F4E	1
298623016	1000	F4Eyz	F4Eyz00	Other eyelid disorder NOS	60113004	F4E	1
298617014	1000	F4Ey	F4Ey.00	Other eyelid disorders OS	60113004	F4E	1
394471000006115	9	FyuB6	FyuB600	[X]Involvement of eyelid in other diseases CE	60113004	Fyu	1
299416018	30	FyuB0	FyuB000	[X]Other specified inflammation of eyelid	60113004	Fyu	1
298624010	60000	F4Ez	F4Ez.00	Eyelid disorder NOS	60113004	F4E	1
298609018	60	F4E4z	F4E4z00	Other disorder affecting eyelid function NOS	60113004	F4E	1
298606013	30	F4E44	F4E4400	Other sensorimotor eyelid disorder	60113004	F4E	1
298570010	30000	F4E	F4E..00	Disorder of eyelid	60113004	F4E	1
299419013	300	FyuB3	FyuB300	[X]Other specified disorders of eyelid	60113004	Fyu	1
299417010	30	FyuB1	FyuB100	[X]Other disorders affecting eyelid function	60113004	Fyu	1
298873015	4000	F4K23	F4K2300	Vitreous degeneration	60189009	F4K	1
87271000006114	20000	F4E0-1	F4E0.11	Trichiasis	60332004	F4E	1
3479831000006111	2	^ESCTMA347983		Malposition of eyelashes	60332004		1
74089015	1000	F4E05	F4E0500	Trichiasis without entropion	60332004	F4E	1
100914018	3000	F4E2	F4E2.00	Lagophthalmos	60735000	F4E	1
298585016	90	F4E20	F4E2000	Unspecified lagophthalmos	60735000	F4E	1
744411000006115	2000	F4E40	F4E4000	Lid retraction or lag	60735000	F4E	1
3486661000006117	2	^ESCTPO348666		Poor closure eyelids	60735000		1
298589010	200	F4E2z	F4E2z00	Lagophthalmos NOS	60735000	F4E	1
883491000006115	3000	F4Ez-99	F4Ez.99	Eyelid disorders NOS	616261000000100	F4E	1
102912011	3000	F484M	F484M00	Bitemporal hemianopia	61917005	F48	1
104100012	10000	SD81	SD81.00	Superficial injury of cornea	62635000	SD8	1
898001000006111	700	SD81-99	SD81.99	Superficial injury: cornea	62635000	SD8	1
989911000006110	1	SD81-98	SD81.98	Blister: cornea	62635000	SD8	1
989011000006114	70	F4E00-99	F4E0099	Entropion	627171000000108	F4E	1
3522641000006115	7	^ESCTEY352264		Eyelid everted	62909004		1
3522631000006113	1	^ESCTEY352263		Eyelid turned out	62909004		1
3522651000006118	1	^ESCTEC352265		Ectropion of eyelid	62909004		1
3522611000006119	1	^ESCTEV352261		Eversion of the eyelid	62909004		1
104554017	100000	F4E1	F4E1.00	Ectropion	62909004	F4E	1
298583011	3000	F4E1z	F4E1z00	Ectropion NOS	62909004	F4E	1
298582018	1000	F4E10	F4E1000	Unspecified ectropion	62909004	F4E	1
299512018	30	FyuM2	FyuM200	[X]Visual disturbances in diseases classified elsewhere	63102001	Fyu	1
298242012	50000	F48z	F48z.00	Visual disturbance NOS	63102001	F48	1
61821000006117	300000	F48	F48..00	Visual disturbance	63102001	F48	1
298241017	200	F48yz	F48yz00	Other specified visual disturbance NOS	63102001	F48	1
298236013	600	F48y	F48y.00	Other specified visual disturbance	63102001	F48	1
299508012	600	FyuL1	FyuL100	[X]Other visual disturbances	63102001	Fyu	1
105145018	200	F4K42	F4K4200	Persistent miosis	63251006	F4K	1
105477014	3000	F4K03	F4K0300	Anterior scleritis	63454000	F4K	1
105913010	500	F4Ey0	F4Ey000	Haemorrhage of eyelid	63720000	F4E	1
897941000006110	90	SD80-99	SD80.99	Superficial injury: eyelids	63943002	SD8	1
3539791000006111	20	^ESCTSU353979		Superficial injury of eye region	63943002		1
322707012	200	SD80z	SD80z00	Superficial injury of eyelids and periocular area NOS	63943002	SD8	1
499717012	800	SD80	SD80.00	Superficial injury of eyelids and periocular area	63943002	SD8	1
3539761000006115	10	^ESCTSU353976		Superficial injury of eyelid AND/OR periocular area	63943002		1
3545241000006114	10	^ESCTSE354524		Seeing things	64269007		1
499799011	40000	F481K	F481K00	Visual hallucinations	64269007	F48	1
317008015	8000	R0014	R001400	[D]Visual hallucinations	64269007	R00	1
107082011	900	F4843	F484300	Paracentral scotoma	64418005	F48	1
107423014	10000	F4K51	F4K5100	Congenital nystagmus	64635004	F4K	1
898211000006119	200	SE10-99	SE10.99	'Black-eye'	649491000000106	SE1	1
898051000006110	4	SD81z-99	SD81z99	Blister: cornea	649761000000107	SD8	1
898031000006115	10	SD81z-97	SD81z97	Splinter: cornea	649761000000107	SD8	1
898041000006113	2	SD81z-98	SD81z98	Insect bite:cornea - non-venom	649761000000107	SD8	1
898021000006118	200	SD81z-96	SD81z96	Superficial injury NOS: cornea	649761000000107	SD8	1
2579563013	10	F486-1	F486.11	Hemeralopia	65194006	F48	1
298228016	60	F4860	F486000	Unspecified night blindness	65194006	F48	1
108340018	100	F486-2	F486.12	Nyctalopia	65194006	F48	1
298231015	500	F4863	F486300	Congenital night blindness NOS	65194006	F48	1
298235012	70	F486z	F486z00	Night blindness NOS	65194006	F48	1
298230019	20	F4862	F486200	Hereditary night blindness NOS	65194006	F48	1
298234011	6	F4867	F486700	Abnormal dark adaptive curve NOS	65194006	F48	1
108338011	1000	F486	F486.00	Night blindness	65194006	F48	1
883611000006110	100	F4K31-99	F4K3199	Lens dislocation/subluxation	65814009	F4K	1
109323018	2000	F4K31	F4K3100	Subluxation of lens	65814009	F4K	1
111982014	500	F4E04	F4E0400	Cicatricial entropion	67383002	F4E	1
897991000006118	40	SD80z-99	SD80z99	Superficial inj. NOS: eyelids	674391000000102	SD8	1
219371000000110	800	F4E53	F4E5300	Hypopigmentation of eyelid	68210006	F4E	1
113964016	900	F4K52	F4K5200	Latent nystagmus	68610001	F4K	1
298620018	80	F4Ey5	F4Ey500	Congenital vascular anomaly of eyelid	700278007	F4E	1
501548010	5000	F4815	F481500	Simple eye strain	70323002	F48	1
116813013	500	F4816	F481600	Asthenopia	70323002	F48	1
3643591000006113	700	^ESCTEY364359		Eye strain	70323002		1
501549019	3000	F4815-1	F481511	Tired eyes	70323002	F48	1
183481000006113	200000	1B85-1	1B85.11	Red eye	703630003	1B8	1
117201018	4000	F4K02	F4K0200	Nodular episcleritis	70558001	F4K	1
117502012	90	F4E55	F4E5500	Hypotrichosis of eyelid	70738004	F4E	1
58221015	300	F4E55-1	F4E5511	Madarosis of eyelid	70738004	F4E	1
119054015	6000	F4E11	F4E1100	Senile ectropion	71659009	F4E	1
3665581000006118	40	^ESCTIN366558		Involutional ectropion	71659009		1
3665591000006115	3	^ESCTAG366559		Age-related ectropion	71659009		1
1216889011	100	F4854	F485400	Acquired colour blindness	71676008	F48	1
1491681018	200	F4K4z-2	F4K4z12	Reaction of pupils abnormal	72124005	F4K	1
194561000006118	2000	F4K4	F4K4.00	Pupillary function anomaly	72124005	F4K	1
298892018	90	F4K40	F4K4000	Abnormal pupillary function	72124005	F4K	1
1491680017	300	F4K4z-1	F4K4z11	Abnormal pupillary reaction	72124005	F4K	1
883621000006119	300	F4K4-99	F4K4.99	Abnormal pupils	72124005	F4K	1
399492016	100	F4K4z	F4K4z00	Pupillary function anomaly NOS	72124005	F4K	1
125167014	400	F481E	F481E00	Refractive diplopia	75364009	F48	1
298926010	50000	F4Kz4	F4Kz400	Red eye	75705005	F4K	1
183471000006110	90000	F4Kz4-1	F4Kz411	Red eye NOS	75705005	F4K	1
125771015	30	F4K48	F4K4800	Hippus	75724008	F4K	1
13532018	2000	SD82	SD82.00	Superficial injury of conjunctiva	7581004	SD8	1
126555013	400	F4E33	F4E3300	Mechanical ptosis	76201007	F4E	1
299487019	400	FyuH1	FyuH100	[X]Other disorders of vitreous body	76682005	Fyu	1
624771000006112	3000	F4K2	F4K2.00	Disorder of vitreous body	76682005	F4K	1
62561000006116	4000	P350	P350.00	Vitreous anomalies	76682005	P35	1
298876011	40	F4K27	F4K2700	Other vitreous crystalline deposits	76682005	F4K	1
3760641000006112	9	^ESCTDE376064		Deutan defect	77479002		1
573901000006114	400	F4851	F485100	Colour blind - deutan defect	77479002	F48	1
298173017	100	F4818	F481800	Visual discomfort	7751009	F48	1
130057013	20000	F4K0-2	F4K0.12	Scleritis	78370002	F4K	1
298859012	3000	F4K00	F4K0000	Unspecified scleritis	78370002	F4K	1
298179018	2000	F481G	F481G00	Other visual distortion	78455002	F48	1
298181016	20	F481L	F481L00	Other psychophysical visual disturbance	78455002	F48	1
124401000006112	10000	F481	F481.00	Subjective visual disturbance	78455002	F48	1
298166010	300	F4810	F481000	Unspecified subjective visual disturbance	78455002	F48	1
298182011	500	F481z	F481z00	Subjective visual disturbance NOS	78455002	F48	1
322712013	20000	SD8z	SD8z.00	Superficial injury of eye	78598000	SD8	1
131413011	100	F4834	F483400	Abnormal retinal correspondence	79195003	F48	1
132450010	70	F4E54	F4E5400	Hypertrichosis of eyelid	79830009	F4E	1
580081000006118	6000	F4800-1	F480011	Congenital amblyopia	804001000000109	F48	1
133936015	3000	SE14	SE14.00	Commotio retinae	80744008	SE1	1
134089013	80	F4E13	F4E1300	Spastic ectropion	80846000	F4E	1
134481019	10000	F4Ey3	F4Ey300	Sebaceous cyst of eyelid	81061007	F4E	1
2432010	100000	F4K0-1	F4K0.11	Episcleritis	815008	F4K	1
298184012	500	F4830	F483000	Binocular vision disorder	83275001	F48	1
299507019	600	FyuL0	FyuL000	Binocular vision disorder	83275001	Fyu	1
138571013	500	F481D	F481D00	Visual halos	83551002	F48	1
139001011	70	F481J	F481J00	Visual disorientation syndrome	83824009	F48	1
3863831000006112	4	^ESCTTO386383		Topographical agnosia	83824009		1
142314019	400000	SD810	SD81000	Corneal abrasion	85848002	SD8	1
898011000006114	6000	SD810-99	SD81099	Abrasion: cornea	85848002	SD8	1
3895371000006119	1	^ESCTSC389537		Scratch of cornea	85848002		1
144724014	400	F484L	F484L00	Binasal hemianopia	87278000	F48	1
145353016	1000	F4E53-1	F4E5311	Vitiligo of eyelid	87666009	F4E	1
3927261000006110	3	^ESCTPO392726		Posterior staphyloma	87819007		1
145591015	50	F4K11	F4K1100	Staphyloma posticum	87819007	F4K	1
15571018	20	F4832	F483200	Simultaneous visual perception without fusion	8826001	F48	1
508342015	4000	F4Ey1	F4Ey100	Oedema of eyelid	89091004	F4E	1
149013016	1000	F4E40-1	F4E4011	Lid lag	89893000	F4E	1
15926017	20	F4E23	F4E2300	Cicatricial lagophthalmos	9042000	F4E	1
150683014	2000	F4803	F480300	Refractive amblyopia	90927000	F48	1
3977541000006114	5	^ESCTME397754		Meridional amblyopia	90927000		1
3977531000006116	20	^ESCTAM397753		Ametropic amblyopia	90927000		1
151783012	40	F4K06	F4K0600	Brawny scleritis	91612009	F4K	1
3988461000006118	5	^ESCTDI398846		Diffuse scleritis	91612009		1
16523013	60	F481F	F481F00	Refractive polyopia	9428001	F48	1
16663019	30	F4K55	F4K5500	Dissociated nystagmus	9520006	F4K	1
157735015	50000	F4K6	F4K6.00	Pseudophakia	95217000	F4K	1
158671013	10000	F4K24-1	F4K2411	Asteroid hyalosis	95800001	F4K	1
2647414010	2000	F4K24	F4K2400	Asteroid hyalitis	95800001	F4K	1
2492981000000115	10000	F4K60	F4K6000	Pseudophakia left eye	980191000000100	F4K	1
2493021000000111	10000	F4K61	F4K6100	Pseudophakia right eye	980211000000101	F4K	1
