medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	SkinInfection
399898013	6000	M031	M031.00	Cellulitis and abscess of neck	267779003	M03	1
540921000006112	6000	M034-1	M034.11	Cellulitis and abscess of hand	267780000	M03	1
889031000006114	2000	M034-99	M034.99	Cellulitis -hand -excl. finger	267780000	M03	1
399899017	20000	M034	M034.00	Cellulitis and abscess of hand excluding digits	267780000	M03	1
399900010	5000	M0340	M034000	Cellulitis and abscess of hand unspecified	267780000	M03	1
889051000006119	30000	M036-99	M036.99	Cellulitis - leg - excl. foot	267782008	M03	1
889061000006117	8000	M037-99	M037.99	Cellulitis - foot - excl. toe	267783003	M03	1
308361011	7000	M037z	M037z00	Cellulitis and abscess of foot NOS	267783003	M03	1
540851000006112	10000	M037-1	M037.11	Cellulitis and abscess of foot	267783003	M03	1
308358010	10000	M0370	M037000	Cellulitis and abscess of foot unspecified	267783003	M03	1
399903012	90000	M037	M037.00	Cellulitis and abscess of foot excluding toe	267783003	M03	1
399913016	5000	M121	M121.00	Contact dermatitis due to oils and greases	267793005	M12	1
5501981000006111	40	^ESCTCO550198		Contact dermatitis due to oil and grease	267793005		1
149031000006112	200000	M07z-3	M07z.13	Pustule	271760008	M07	1
5529001000006113	4	^ESCTPU552900		Pussey spot	271760008		1
215461000000113	10000	M07z-5	M07z.15	Sinus	271766002	M07	1
406684016	10000	M2yA	M2yA.00	Skin sinus	271766002	M2y	1
2542421000006117	10	^ESCTAT254242		Atrophoderma vermiculatum	2736005		1
483507011	60	M240T	M240T00	Folliculitis ulerythematosa reticulata	2736005	M24	1
763531000006119	400	M21y5	M21y500	Folliculitis ulerythematosa reticulata	2736005	M21	1
45781013	70	M240P	M240P00	Alopecia mucinosa	27382006	M24	1
1132671000000119	100	M2yF	M2yF.00	Follicular mucinosis	27382006	M2y	1
115471000006111	2000	AB1X	AB1X.00	Superficial mycosis, unspecified	276206000	AB1	1
288213018	8	AyuE2	AyuE200	[X]Other specified superficial mycoses	276206000	Ayu	1
288214012	200	AyuE3	AyuE300	Superficial mycosis	276206000	Ayu	1
221371000000118	500000	M2400-2	M240012	Loss of hair	278040002	M24	1
5607871000006119	10	^ESCTTH560787		Thinning hair	278040002		1
5607861000006114	1	^ESCTFA560786		Falling hair	278040002		1
46541012	100	A7421	A742100	Coxsackie pericarditis	27806003	A74	1
416193013	50000	Mz-1	Mz...11	Sore skin	279074008	Mz.	1
81109013	80	M12y4	M12y400	Contact dermatitis due to hot weather	279334008	M12	1
590831000006112	10	M12y5	M12y500	Contact dermatitis due to infra-red rays	279334008	M12	1
5624761000006116	2	^ESCTHE562476		Heat-induced dermatosis	279334008		1
437671000006113	4000	M242	M242.00	Disorder of hair	279425004	M24	1
309049016	3000	M242z	M242z00	Hair abnormalities NOS	279425004	M24	1
2950531000006114	3	^ESCTFU295053		Furuncle of hip	28061009		1
1225770012	200	M0160	M016000	Boil of hip	28061009	M01	1
308539017	2000	M124z	M124z00	Contact dermatitis: other chemicals NOS	291000119100	M12	1
308527013	10000	M124	M124.00	Contact dermatitis caused by chemical	291000119100	M12	1
889221000006119	2000	M124-99	M124.99	Contact dermatitis: chemicals	291000119100	M12	1
1226308010	2000	M0124	M012400	Boil of umbilicus	29199007	M01	1
2969401000006115	20	^ESCTFU296940		Furuncle of umbilicus	29199007		1
1226395015	3000	M0120	M012000	Boil of chest wall	29723007	M01	1
2978271000006110	40	^ESCTFU297827		Furuncle of chest wall	29723007		1
50054011	300	M0701	M070100	Pyoderma faciale	29909004	M07	1
309043015	8000	M241z	M241z00	Hypertrichosis	29966009	M24	1
215511000006115	6	M241-1	M241.11	Polytrichia	29966009	M24	1
50145010	10	M2416	M241600	Polytrichia	29966009	M24	1
484449012	200000	M241	M241.00	Hirsutism - hypertrichosis	29966009	M24	1
779881000006110	300000	M07yz-1	M07yz11	Infection toe	299989006	M07	1
5873481000006113	4000	^ESCTIN587348		Infection of toe	299989006		1
440973016	100000	M07z1	M07z100	Infection toe	299989006	M07	1
440974010	60000	M07z0	M07z000	Infection foot	299990002	M07	1
5873501000006115	7000	^ESCTIN587350		Infection of foot	299990002		1
780401000006116	40000	M07yz-2	M07yz12	Infection foot	299990002	M07	1
780371000006119	70000	M07yz-3	M07yz13	Infection finger	299991003	M07	1
440975011	100000	M07z2	M07z200	Infection finger	299991003	M07	1
5873521000006113	2000	^ESCTIN587352		Infection of finger	299991003		1
425961000006115	5000	M080-2	M080.12	Infected thumb	300946000	M08	1
309056010	80	M243z	M243z00	Hair colour variations NOS	302931004	M24	1
5913371000006118	2	^ESCTDI591337		Disorder of hair colour	302931004		1
50967012	20000	M120	M120.00	Contact dermatitis due to detergents	30451004	M12	1
2990471000006118	200	^ESCTCO299047		Contact dermatitis due to detergent	30451004		1
52490016	1000	M03y0-1	M03y011	Abscess of scalp	31399009	M03	1
53389017	200	M1247	M124700	Contact dermatitis due to plastic	31948006	M12	1
53508012	70000	M0201-2	M020112	Whitlow	32021005	M02	1
710141000006110	20000	M0201	M020100	Pulp abscess of finger	32021005	M02	1
53507019	400	M0201-1	M020111	Felon	32021005	M02	1
3018131000006114	7	^ESCTFU301813		Furuncle of nasal septum	32179007		1
1227918017	1000	M0102	M010200	Boil of nasal septum	32179007	M01	1
54060018	70	M1235	M123500	Contact dermatitis due to neomycin	32371003	M12	1
56198019	20	AB13	AB13.00	Black piedra	33666009	AB1	1
6963017	400	M07y0	M07y000	Pustular bacterid	3533007	M07	1
2555281000006114	50	^ESCTAC255528		Acute palmoplantar pustular psoriasis	3533007		1
1228290017	500	M0130	M013000	Boil of shoulder	35490003	M01	1
3071821000006119	10	^ESCTFU307182		Furuncle of shoulder	35490003		1
195391000006118	10	M0700	M070000	Pyoderma chancriforme	35542008	M07	1
59376019	50	AB12-1	AB12.11	White piedra	35586003	AB1	1
59377011	700	AB12	AB12.00	Tinea blanca	35586003	AB1	1
308386019	1000	M053	M053.00	Circinate impetigo	359749002	M05	1
1228365016	200	M0171	M017100	Boil of heel	36175004	M01	1
1228455011	1000	M0134	M013400	Boil of forearm	36254004	M01	1
3084311000006110	40	^ESCTFU308431		Furuncle of forearm	36254004		1
60975016	50	M1251	M125100	Contact dermatitis due to fish	36530008	M12	1
1228679019	6000	M0121	M012100	Boil of breast	36688000	M01	1
3091321000006118	50	^ESCTFU309132		Furuncle of breast	36688000		1
61479010	1000	M0202	M020200	Onychia of finger	36857002	M02	1
888951000006112	20000	M0203-99	M020399	Cellulitis - finger-paronychia	36857002	M02	1
62085014	200	A7423	A742300	Coxsackie myocarditis	37217002	A74	1
62096018	900	M089	M089.00	Cellulitis of neck	37223007	M08	1
308242010	2000	M010z	M010z00	Boil of face NOS	37396007	M01	1
888861000006118	4000	M010-99	M010.99	Boil - face	37396007	M01	1
3102531000006111	900	^ESCTFU310253		Furuncle of face	37396007		1
519541000006110	40000	M010	M010.00	Boil of face	37396007	M01	1
3105471000006118	2	^ESCTFU310547		Furuncle of wrist	37589009		1
1229329019	200	M0140	M014000	Boil of wrist	37589009	M01	1
3116871000006110	100	^ESCTFU311687		Furuncle of leg, except foot	38307006		1
308255011	2000	M016z	M016z00	Boil of leg (excluding foot) NOS	38307006	M01	1
888921000006115	3000	M016-99	M016.99	Boil - leg (excl. foot)	38307006	M01	1
1229411011	10000	M016	M016.00	Boil of leg (excluding foot)	38307006	M01	1
64265017	60	M2420	M242000	Atrophic hair	38467009	M24	1
221381000000116	1000	M2430	M243000	Premature greying	387833009	M24	1
6478571000006112	3	^ESCTPR647857		Premature grayness of hair	387833009		1
6478551000006119	10	^ESCTPR647855		Premature canities	387833009		1
1483043017	1000	M0211	M021100	Onychia of toe	388982007	M02	1
1493579019	200	M021z-1	M021z11	Perionychia of toe	388983002	M02	1
1483044011	400000	M0212	M021200	Paronychia of toe	388983002	M02	1
66219018	20000	M240M	M240M00	Telogen effluvium	39479004	M24	1
3137571000006118	20	^ESCTGR313757		Granuloma telangiectaticum of skin	39629007		1
806801000006119	900	M0712	M071200	Granuloma telangiectaticum	39629007	M07	1
308403013	1000	M0710	M071000	Pyogenic granuloma unspecified	39629007	M07	1
308409012	4000	M071z	M071z00	PG - Pyogenic granuloma	39629007	M07	1
3137561000006113	80	^ESCTPY313756		Pyogenic granuloma of skin	39629007		1
66885012	3000	M250	M250.00	Anhidrosis	39659002	M25	1
6615681000006113	40	^ESCTDE661568		Deep bacterial folliculitis	399008001		1
1786815014	600	M2446	M244600	Sycosis vulgaris	399008001	M24	1
1778497010	300000	AB03-2	AB03.12	Tinea cruris	399029005	AB0	1
879501000006118	10000	AB03-99	AB03.99	Tinea of groin/perianal	399029005	AB0	1
614581000006111	90000	AB03	AB03.00	Dermatophytosis of groin and perianal area	399029005	AB0	1
614571000006113	70000	AB030	AB03000	Dermatophytosis of groin	399029005	AB0	1
2607951000000112	60	AB032		Tinea inguinalis	399029005		1
615991000006117	5000	AB03-1	AB03.11	Dhobie itch	399029005	AB0	1
6618681000006117	200	^ESCTIM661868		Impetigo bullosa	399183005		1
1786733013	8000	M051	M051.00	Bullous impetigo	399183005	M05	1
1778658013	6000	M24y0	M24y000	Pseudofolliculitis barbae	399205006	M24	1
6620931000006115	8	^ESCTBA662093		Bacterial folliculitis	399324007		1
889471000006119	3000	M2441-99	M244199	Sycosis barbae	399324007	M24	1
1786821013	4000	M2441-1	M244111	Barbers' rash	399329002	M24	1
1786817018	3000	AB001	AB00100	Dermatophytosis of beard	399329002	AB0	1
6621061000006119	2	^ESCTFO662106		Folliculitis barbae	399329002		1
6621021000006113	300	^ESCTTI662102		Tinea barbae	399329002		1
1779279014	10000	M12z4	M12z400	Erythrodermic eczema	400005007	M12	1
6634251000006113	10	^ESCTIN663425		Infective eczema	400079002		1
1779345010	500000	M12z2	M12z200	Infected eczema	400079002	M12	1
6634401000006110	20	^ESCTCI663440		Cicatricial alopecia	400088006		1
309367019	1000	Myu6E	Myu6E00	Scarring alopecia	400088006	Myu	1
557231000006116	1000	M24X	M24X.00	Scarring alopecia	400088006	M24	1
6660361000006118	2000	^ESCTON666036		Onychomycosis due to dermatophyte	402134005		1
2536718017	300000	AB01	AB01.00	Dermatophytosis of nail	402134005	AB0	1
879491000006114	20000	AB01-99	AB01.99	Tinea of nail - onychomycosis	402134005	AB0	1
2536717010	60000	AB01-2	AB01.12	Tinea unguium	402134005	AB0	1
6662121000006114	8	^ESCTCH666212		Cheiropompholyx	402222007		1
6662151000006117	600	^ESCTPO666215		Pompholyx of hands	402222007		1
545831000006111	20000	M2522	M252200	Vesicular hand eczema	402222007	M25	1
6663041000006112	600	^ESCTIR666304		Irritant contact dermatitis due to incontinence	402276007		1
2233571000000112	200	M1295	M129500	Incontinence-associated dermatitis	402276007	M12	1
2233581000000114	4000	M1295-1	M129511	Moisture lesion	402276007	M12	1
6667231000006115	3	^ESCTVE666723		Vesicular eczema of hands and feet	402567004		1
309094010	200	M252z	M252z00	Dyshidrosis NOS	402567004	M25	1
309091019	300000	M2521	M252100	Pompholyx	402567004	M25	1
633041000006119	20000	M252	M252.00	Vesicular eczema of hands and/or feet	402567004	M25	1
309090018	100	M2520	M252000	Dyshidrosis unspecified	402567004	M25	1
6667201000006111	10	^ESCTCH666720		Cheiropodopompholyx	402567004		1
6667221000006118	70	^ESCTPO666722		Pompholyx eczema	402567004		1
6667251000006110	50	^ESCTDY666725		Dyshidrotic eczema	402567004		1
3148031000006112	3	^ESCTCO314803		Contact eczema	40275004		1
399912014	200000	M12	M12..00	Contact dermatitis and other eczemas	40275004	M12	1
309323016	300	Myu27	Myu2700	[X]Unspecified contact dermatitis due to other agents	40275004	Myu	1
308624013	30000	M12zz	M12zz00	Contact dermatitis NOS	40275004	M12	1
63652013	500000	M12-1	M12..11	Contact dermatitis	40275004	M12	1
3148021000006114	2	^ESCTCD314802		CD - Contact dermatitis	40275004		1
1494721011	30000	M12-2	M12..12	Contact eczema	40275004	M12	1
430281000006110	50	Myu26	Myu2600	[X]Unspcfd contact dermatitis due to other chemical products	40275004	Myu	1
308602013	400	M12y	M12y.00	Contact dermatitis due to other specified agents	40275004	M12	1
308623019	600	M12yz	M12yz00	Contact dermatitis: specified agent NOS	40275004	M12	1
591221000006115	100000	M12z	M12z.00	Contact dermatitis NOS	40275004	M12	1
309344016	400	Myu50	Myu5000	[X]Other sunburn	403194002	Myu	1
39182017	100000	M1271	M127100	Sunburn	403194002	M12	1
6677141000006114	5000	^ESCTSO667714		Solar erythema	403194002		1
3153521000006112	1000	^ESCTFU315352		Furunculosis of skin AND/OR subcutaneous tissue	40603000		1
189291000006114	100000	M01z-1	M01z.11	Recurring skin boils	40603000	M01	1
67908018	10	M1230	M123000	Contact dermatitis due to arnica	40712008	M12	1
797051000006113	1000000	AB01-3	AB01.13	Fungal nail infection	414941008	AB0	1
6867381000006117	50	^ESCTFU686738		Fungal infection of nail	414941008		1
2533089015	300000	AB01-1	AB01.11	Onychomycosis	414941008	AB0	1
797291000006110	400000	M01	M01..00	Furuncle	416675009	M01	1
399891019	500000	M01z	M01z.00	Boil	416675009	M01	1
308258013	5000	M01y	M01y.00	Boil of other specified site	416675009	M01	1
308260010	2000	M01yz	M01yz00	Boil of other specified site NOS	416675009	M01	1
71306016	200	M1244	M124400	Contact dermatitis due to dichromate	42733007	M12	1
308400011	50000	M07	M07..00	Localised infection of skin AND/OR subcutaneous tissue	430348006	M07	1
7118841000006114	1	^ESCTLO711884		Localized infection of skin AND/OR subcutaneous tissue	430348006		1
737941000006115	100000	M07y	M07y.00	Local infection of skin or subcutaneous tissue OS	430348006	M07	1
399917015	7000000	M12z1	M12z100	Eczema	43116000	M12	1
309315018	70000	Myu2	Myu2.00	[X]Dermatitis and eczema	43116000	Myu	1
309324010	30	Myu28	Myu2800	[X]Dermatitis due to other substances taken internally	43116000	Myu	1
3208201000006117	2	^ESCTAC320820		Actinic aging	43982006		1
3208211000006119	1	^ESCTPH320821		Photoaging	43982006		1
3208221000006110	100	^ESCTSU320822		Sun damaged skin	43982006		1
3208241000006115	1	^ESCTAC320824		Actinic degeneration of skin	43982006		1
3208191000006115	1	^ESCTAC320819		Actinic ageing	43982006		1
3208121000006117	900	^ESCTSO320812		Solar degeneration	43982006		1
73336017	500	M127A-1	M127A11	Actinic elastosis	43982006	M12	1
73339012	5000	M127A	M127A00	Solar elastosis	43982006	M12	1
889501000006114	3000	M251-99	M251.99	Prickly heat - sweat rash	44279002	M25	1
73857018	2000	M2511	M251100	Miliaria crystallina	44279002	M25	1
493836018	30000	M251-3	M251.13	Sweat rash	44279002	M25	1
519591000006118	1000	M017	M017.00	Boil of foot	44361004	M01	1
308257015	90	M017z	M017z00	Boil of foot NOS	44361004	M01	1
308256012	40	M0170	M017000	Boil of foot unspecified	44361004	M01	1
888931000006117	200	M017-99	M017.99	Boil - foot	44361004	M01	1
3214681000006118	20	^ESCTFU321468		Furuncle of foot	44361004		1
61481012	2000	M0203-1	M020311	Perionychia of finger	444646006	M02	1
7295811000006115	2	^ESCTPE729581		Perionychia of finger	444646006		1
7295821000006111	1	^ESCTFI729582		Fingernail infection	444646006		1
61480013	700000	M0203	M020300	Paronychia of finger	444646006	M02	1
423153016	90000	M088	M088.00	Cellulitis of upper limb	449671007	M08	1
541011000006113	80000	M036	M036.00	Cellulitis and abscess of lower limb	449702005	M03	1
399901014	20000	M036-1	M036.11	Cellulitis and abscess of leg	449702005	M03	1
308354012	70000	M036z	M036z00	Cellulitis and abscess of leg NOS	449702005	M03	1
357328011	2000000	M085	M085.00	Cellulitis of lower limb	449710006	M08	1
308326017	20000	M033	M033.00	Cellulitis and abscess of upper limb	449717009	M03	1
75066018	300	M250-1	M250.11	Hypohidrosis	45004005	M25	1
75067010	10	M250-2	M250.12	Oligohidrosis	45004005	M25	1
75468010	2000	M12B2	M12B200	Poikiloderma of Civatte	45265000	M12	1
77108018	1000	M1248	M124800	Contact dermatitis due to rubber	46240005	M12	1
590901000006110	100	M12y7	M12y700	Contact dermatitis due to light, except sun	46787004	M12	1
3256531000006117	20	^ESCTSO325653		Solar keratosis of lip	46795000		1
78003011	3000	M127B	M127B00	Actinic cheilitis	46795000	M12	1
541421000006113	800	M0328	M032800	Cellulitis of trunk	46876003	M03	1
78133018	1000	M083	M083.00	Cellulitis of trunk	46876003	M08	1
78889012	40	M2513	M251300	Miliaria profunda	47317002	M25	1
287499019	4000	AB03z	AB03z00	Dermatophytosis of groin and perianal area NOS	47382004	AB0	1
614531000006110	400000	AB0	AB0..00	Dermatophytosis	47382004	AB0	1
287512010	3000	AB0y	AB0y.00	Other specified dermatophytosis	47382004	AB0	1
78996013	200000	AB0-3	AB0..13	Tinea	47382004	AB0	1
287514011	20000	AB0z	AB0z.00	Dermatophytosis NOS	47382004	AB0	1
287515012	10000	AB1	AB1..00	Dermatophytosis other and unspecified	47382004	AB1	1
78997016	400000	AB0-2	AB0..12	Ringworm	47382004	AB0	1
288212011	3000	AyuE1	AyuE100	[X]Dermatophytosis, unspecified	47382004	Ayu	1
888871000006113	1000	M011-99	M011.99	Boil - neck	47763005	M01	1
519751000006115	10000	M011	M011.00	Furuncle of neck	47763005	M01	1
80425016	2000000	M05	M05..00	Impetigo	48277006	M05	1
308391018	100000	M05z	M05z.00	Impetigo NOS	48277006	M05	1
308382017	10000	M050	M050.00	Impetigo contagiosa unspecified	48277006	M05	1
1230647015	100	M0164	M016400	Boil of ankle	48759000	M01	1
3292321000006116	200	^ESCTTI329232		Tinea manus	48971001		1
1230667012	10000	AB02	AB02.00	Dermatophytosis of hand	48971001	AB0	1
102631000006116	5000	AB02-1	AB02.11	Tinea manuum	48971001	AB0	1
81779016	300	M12C	M12C.00	Radiodermatitis	49084001	M12	1
3294171000006114	60	^ESCTRA329417		Radiation dermatitis	49084001		1
590631000006113	6	M1250	M125000	Contact dermatitis due to cereal	49186001	M12	1
85321010	30000	M07y4	M07y400	Pitted keratolysis	51212009	M07	1
14058871000006112	1	^ESCT1405887		Chronic actinic dermatitis	52636001		1
87598010	300	M12B0	M12B000	Actinic reticuloid	52636001	M12	1
3353371000006110	10	^ESCTCA335337		CAD - Chronic actinic dermatitis	52636001		1
3354081000006112	1	^ESCTFU335408		Furuncle of temple region	52681002		1
2536370018	300	M0103	M010300	Boil of temple region	52681002	M01	1
89101013	8000	M240S	M240S00	Folliculitis decalvans	53593008	M24	1
309062017	2000	M2442	M244200	Folliculitis depilans	53593008	M24	1
89199015	20000	M2443	M244300	Pustular folliculitis	53651004	M24	1
89646013	50	M1266	M126600	Contact dermatitis due to ragweed	53930004	M12	1
3374711000006117	4	^ESCTCO337471		Contact dermatitis caused by ragweed	53930004		1
879261000006119	100	A74z-99	A74z.99	Other coxsackie disease	543771000000109	A74	1
1231332013	30	AB000-99	AB00099	Tinea of scalp	5441008	AB0	1
1231331018	70000	AB000	AB00000	Dermatophytosis of scalp	5441008	AB0	1
10089014	70000	AB000-1	AB00011	Tinea capitis	5441008	AB0	1
2586441000006116	40	^ESCTBL258644		Black dot ringworm	5441008		1
879531000006114	800	AB1-99	AB1..99	Other dermatophytosis	556441000000101	AB1	1
93035017	50	M1252	M125200	Contact dermatitis due to flour	55934006	M12	1
93652017	10000	M2400-1	M240011	Baldness	56317004	M24	1
889461000006114	5000	M240-99	M240.99	Alopecia - baldness	56317004	M24	1
309031016	6000	M240z	M240z00	Alopecia NOS	56317004	M24	1
3415111000006116	50	^ESCTHA341511		Hair loss disorder	56317004		1
93649013	300000	M240	M240.00	Alopecia	56317004	M24	1
399934011	40000	M2400	M240000	Alopecia unspecified	56317004	M24	1
93877018	40	AB10-1	AB10.11	Tinea flava	56454009	AB1	1
93876010	50000	AB10-2	AB10.12	Tinea versicolor	56454009	AB1	1
93875014	600000	AB10	AB10.00	Pityriasis versicolor	56454009	AB1	1
10759012	40	M240U	M240U00	Ophiasis	5860009	M24	1
2593021000006114	7	^ESCTOP259302		Ophiasic alopecia areata	5860009		1
44741000006112	20	M2401-1	M240111	Ophiasis	5860009	M24	1
717951000006113	30	M240D	M240D00	Marginal alopecia	5860009	M24	1
14195051000006118	1	^ESCT1419505		Contact dermatitis caused by poison primrose	586008		1
2050012	60	M1265	M126500	Contact dermatitis due to primrose	586008	M12	1
98642019	200000	M25y1-1	M25y111	Hidradenitis suppurativa	59393003	M25	1
3464541000006111	8	^ESCTSU346454		Suppurative hidradenitis	59393003		1
3464511000006112	2	^ESCTHI346451		Hidradenitis axillaris	59393003		1
3477531000006118	800	^ESCTFU347753		Furuncle of axilla	60198007		1
1232054016	80000	M0131	M013100	Boil of axilla	60198007	M01	1
2595641000006111	1	^ESCTTP259564		TP - Tinea pedis	6020002		1
2536410013	300000	AB04	AB04.00	Dermatophytosis of foot	6020002	AB0	1
11001016	300000	AB04-2	AB04.12	Tinea pedis	6020002	AB0	1
11003018	600000	AB04-1	AB04.11	Athlete's foot	6020002	AB0	1
879511000006115	30000	AB04-99	AB04.99	Tinea pedis - athlete's foot	6020002	AB0	1
889511000006112	10000	M2521-99	M252199	Pompholyx	608901000000107	M25	1
889521000006116	500	M25z-99	M25z.99	Sweat gland problems NOS	619701000000101	M25	1
308343019	7000	M034z	M034z00	Cellulitis of hand	62837005	M03	1
1232396011	2000	M031-1	M031.11	Cervical abscess	6284004	M03	1
359601000006118	6000	M091	M091.00	Abscess of neck	6284004	M09	1
208541000006113	80000	M251	M251.00	Miliaria	63951004	M25	1
309372011	700	Myu6H	Myu6H00	[X]Miliaria, unspecified	63951004	Myu	1
702221000006112	2000	M251X	M251X00	Miliaria, unspecified	63951004	M25	1
763411000006112	500	M1709	M170900	Follicular lichen planus	64540004	M17	1
3549561000006112	2	^ESCTLI354956		Lichen planus follicularis	64540004		1
107259017	10000	M240R	M240R00	Lichen planopilaris	64540004	M24	1
1232611013	600	M0141	M014100	Boil of thumb	64786000	M01	1
3557691000006111	30	^ESCTFO355769		Fox Fordyce disease	65038009		1
108094016	300	M25y0	M25y000	Fox-Fordyce disease	65038009	M25	1
3557661000006115	5	^ESCTFO355766		Fox-Fordyce disease	65038009		1
3557671000006110	20	^ESCTAP355767		Apocrine miliaria	65038009		1
108236013	70	M1255	M125500	Contact dermatitis due to milk	65129009	M12	1
108620018	300	M25y2	M25y200	Bromhidrosis	65382006	M25	1
108646019	5	M1260	M126000	Contact dermatitis due to lacquer tree	65394002	M12	1
3576301000006111	20	^ESCTFU357630		Furuncle of anus	66186006		1
500338017	900	M0150	M015000	Boil of anus	66186006	M01	1
888971000006119	2000	M02z-99	M02z.99	Cellulitis - digit NOS	666551000000101	M02	1
889201000006112	10000	M12-99	M12..99	Contact dermatitis/eczema	666631000000109	M12	1
519851000006114	10000	M012	M012.00	Boil of trunk	67272008	M01	1
888881000006111	3000	M012-99	M012.99	Boil - trunk	67272008	M01	1
308244011	400	M012z	M012z00	Boil of trunk NOS	67272008	M01	1
3594261000006119	100	^ESCTFU359426		Furuncle of trunk	67272008		1
889081000006110	5000	M0z-99	M0z..99	Skin infections NOS	672781000000105	M0z	1
112091013	200	M125	M125.00	Contact dermatitis due to food in contact with skin	67445002	M12	1
399914010	50	M125z	M125z00	Contact dermatitis due to food NOS	67445002	M12	1
112148018	3000	M240V	M240V00	Traction alopecia	67488005	M24	1
3597991000006112	40	^ESCTTR359799		Traumatic alopecia	67488005		1
3609971000006113	1	^ESCTPA360997		Patchy loss of hair	68225006		1
3609991000006114	3	^ESCTAA360999		AA - Alopecia areata	68225006		1
309354017	9000	Myu62	Myu6200	[X]Other alopecia areata	68225006	Myu	1
113328010	200000	M2401	M240100	Alopecia areata	68225006	M24	1
889251000006111	2000	M12z1-99	M12z199	Chronic Eczema	684861000000105	M12	1
889071000006112	30000	M07-99	M07..99	Skin infection, localised NOS	686741000000105	M07	1
590711000006110	600	M12y2	M12y200	Contact dermatitis due to dye	6888008	M12	1
889481000006116	400	M24z-99	M24z.99	Hair/hair follicle disease NOS	692481000000105	M24	1
115847018	40000	M25y1	M25y100	Hidradenitis	69741000	M25	1
115978018	50	M12yC	M12yC00	Contact dermatitis due to X-rays	69827001	M12	1
889611000006113	400	Mz-99	Mz...99	Skin/subcutaneous diseases NOS	699791000000107	Mz.	1
309328013	2000	Myu2C	Myu2C00	[X]Other specified dermatitis	703938007	Myu	1
740221000006117	70000	M07z-4	M07z.14	Dermatitis	703938007	M07	1
1160721000000115	20000	2F1C	2F1C.00	Inflammation of skin	703938007	2F1	1
614361000006113	100000	M1-1	M1...11	Dermatitis/dermatoses	703938007	M1.	1
308625014	1000000	M12z0	M12z000	Inflammatory dermatosis	703938007	M12	1
117333013	9000	M08C	M08C.00	Cellulitis of toe	70637004	M08	1
3650941000006119	1	^ESCTSU365094		Suppurative dermatitis	70759006		1
308402015	200	M070z	M070z00	Pyoderma NOS	70759006	M07	1
308363014	2000	M03y	M03y.00	Other specified cellulitis and abscess	70759006	M03	1
308367010	2000	M03zz	M03zz00	Cellulitis and abscess NOS	70759006	M03	1
117539013	7000	M070	M070.00	Pyoderma	70759006	M07	1
888981000006116	6000	M03-99	M03..99	Cellulitis/abscess NOS	70759006	M03	1
399894010	70000	M03	M03..00	Other cellulitis and abscess	70759006	M03	1
399904018	500	M03y0	M03y000	Cellulitis and abscess of head unspecified	70759006	M03	1
540621000006119	200000	M03z	M03z.00	Cellulitis and abscess NOS	70759006	M03	1
117541014	2000	M070-1	M070.11	Pyogenic infection of skin and subcutis	70759006	M07	1
3650971000006110	1	^ESCTPU365097		Pustuloderma	70759006		1
3664431000006119	400	^ESCTFU366443		Furuncle of ear	71591001		1
1233401018	20000	M0100	M010000	Boil of ear	71591001	M01	1
119478019	200000	M02z-2	M02z.12	Paronychia	71906005	M02	1
740291000006115	30000	M02z-3	M02z.13	Infected nailfold	71906005	M02	1
682391000006113	10000	M02z-4	M02z.14	Nailfold infected	71906005	M02	1
591011000006116	30	M1236	M123600	Contact dermatitis due to pediculicide	72057009	M12	1
493835019	60000	M251-1	M251.11	Heat rash	72658003	M25	1
309088019	20000	M251z	M251z00	Prickly heat	72658003	M25	1
493833014	6000	M2514	M251400	Miliaria rubra	72658003	M25	1
73858011	1000	M251-2	M251.12	Sudamina	72658003	M25	1
121124014	20	M1254	M125400	Contact dermatitis due to meat	72921001	M12	1
1233663010	40	M12C1	M12C100	Chronic radiodermatitis	73781000	M12	1
3699691000006115	1	^ESCTCH369969		Chronic radiation dermatitis	73781000		1
123871011	20000	M0702	M070200	Pyoderma gangrenosum	74578003	M07	1
1233895014	1000	M0142	M014200	Boil of finger	75568008	M01	1
3728821000006110	20	^ESCTFU372882		Furuncle of finger	75568008		1
2620421000006112	6	^ESCTFU262042		Furuncle of head, except face	7572005		1
1233906019	1000	M01y0	M01y000	Boil of head (excluding face)	7572005	M01	1
308446011	5000	M084	M084.00	Cellulitis of breast	75817003	M08	1
142214016	2000	M07y1	M07y100	Ecthyma	762694009	M07	1
3756511000006116	6	^ESCTFU375651		Furuncle of toe	77265008		1
1234087016	300	M0172	M017200	Boil of toe	77265008	M01	1
3757631000006111	90	^ESCTPE375763		Perifolliculitis capitis abscedens et suffodiens	77333008		1
3757661000006119	200	^ESCTDI375766		Dissecting cellulitis of scalp	77333008		1
503525013	10000	M2447	M244700	Perifolliculitis of scalp	77333008	M24	1
128346019	200	M2440	M244000	Folliculitis abscedens et suffodiens	77333008	M24	1
128743013	5000	M1241	M124100	Contact dermatitis due to adhesive plaster	77560002	M12	1
130689015	1000	M12y0	M12y000	Contact dermatitis due to cosmetics	78755001	M12	1
131330014	600	M12B3	M12B300	Actinic granuloma	79144000	M12	1
630781000006116	200	M12A1	M12A100	Photoallergic drug eruption	80346008	M12	1
13461000006110	900	M2y	M2y..00	Other specified diseases of skin or subcutaneous tissue	80659006	M2y	1
